,user_id,imdb_id,rating,time
0,116,tt0061418,8,1564732986
1,116,tt0083658,7,1569771038
2,116,tt0095327,9,1547623046
3,116,tt0095765,10,1563411771
4,116,tt0096283,9,1565151708
5,116,tt0104652,8,1530597152
6,116,tt0119698,9,1541496982
7,116,tt0156887,9,1562917766
8,116,tt0167261,8,1545927831
9,116,tt0253474,10,1563863144
10,116,tt0265666,7,1544946218
11,116,tt0268978,9,1552548973
12,116,tt0364569,9,1533130320
13,116,tt0407887,9,1427160701
14,116,tt0424227,10,1562468067
15,116,tt0443706,8,1568420625
16,116,tt0451279,7,1498376930
17,116,tt0477348,7,1563687225
18,116,tt0490215,7,1484157146
19,116,tt0816692,10,1427160682
20,116,tt0974015,7,1510982801
21,116,tt1014763,8,1452622272
22,116,tt1212428,8,1499658827
23,116,tt1241317,1,1503695702
24,116,tt1242422,7,1431199588
25,116,tt1255953,9,1528863300
26,116,tt1302006,10,1576244830
27,116,tt1365050,10,1451400327
28,116,tt1365519,7,1521264806
29,116,tt1386697,7,1470363664
30,116,tt1392190,10,1440170995
31,116,tt1392214,8,1427328031
32,116,tt1560220,8,1571878450
33,116,tt1590193,8,1515910890
34,116,tt1605783,9,1491774066
35,116,tt1638002,8,1432043157
36,116,tt1677720,8,1522464362
37,116,tt1723811,8,1560667269
38,116,tt1763303,8,1439360019
39,116,tt1790809,9,1495944520
40,116,tt1825683,8,1518751554
41,116,tt1856101,9,1569794633
42,116,tt1860357,8,1475968006
43,116,tt1895587,9,1455704498
44,116,tt1924396,8,1532647921
45,116,tt1959563,7,1505795752
46,116,tt1979376,8,1562122400
47,116,tt2084970,9,1514544274
48,116,tt2179121,10,1428668466
49,116,tt2182972,6,1427160730
50,116,tt2250912,8,1499488411
51,116,tt2283362,9,1513822517
52,116,tt2359024,7,1530514255
53,116,tt2380307,7,1511406924
54,116,tt2381111,8,1456299204
55,116,tt2543164,9,1480743453
56,116,tt2543472,8,1519264546
57,116,tt2674426,5,1471328331
58,116,tt2737304,5,1546162210
59,116,tt2771200,5,1489800489
60,116,tt2948356,9,1463954012
61,116,tt2980516,8,1426285812
62,116,tt3076658,8,1455930911
63,116,tt3183660,9,1479688576
64,116,tt3315342,9,1489712359
65,116,tt3397884,8,1451059569
66,116,tt3402236,8,1510453918
67,116,tt3470600,7,1482983817
68,116,tt3498820,9,1472837446
69,116,tt3501632,7,1509948296
70,116,tt3521126,7,1519887833
71,116,tt3553976,9,1486274747
72,116,tt3731562,7,1491072452
73,116,tt3783958,5,1482634913
74,116,tt3890160,10,1498788549
75,116,tt3896198,7,1494559182
76,116,tt4034228,8,1488150898
